iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.8102920723226705,1.8102920723226705,0.0,-0.029500000000000026,-0.029500000000000026,0.0,-0.029500000000000026,-0.029500000000000026,0.0,0.35950000000000004,0.35950000000000004,0.0,10.2,10.2,0.0,0.8155000000000001,0.8155000000000001,0.0,,
1,timing_repair,True,G6,BUF_X1,BUF_X2,,1.8102920723226705,1.2828225071926613,0.5274695651300092,-0.029500000000000026,0.03250000000000003,0.062000000000000055,-0.029500000000000026,0,0.029500000000000026,0.35950000000000004,0.2975,-0.062000000000000055,10.2,11.8,1.6000000000000014,0.8155000000000001,0.9130000000000001,0.09750000000000003,,
2,rejected,False,,,,timing is met and the best cost improvement 0 is below 1e-06,1.2828225071926613,1.2828225071926613,0.0,0.03250000000000003,0.03250000000000003,0.0,0,0,0,0.2975,0.2975,0.0,11.8,11.8,0.0,0.9130000000000001,0.9130000000000001,0.0,timing_met_no_cost_improvement,0.008364570967387408
