method,role,heuristic,random_seed,maximum_iterations,total_iterations,accepted_iterations,sta_calls,elapsed_seconds,termination,timing_met,wns_ns,tns_ns,circuit_delay_ns,area,power_uW,cost
slack_weighted_capacitance,logical_effort_guided,slack_weighted_capacitance,,100,2,1,3,0.0038008380215615034,no_feasible_change,True,0.005910000000000026,0,0.25909,17.6,1.1480100000000002,1.4342998937251337
random_greedy,greedy_baseline,random_greedy,0,100,4,1,2,0.002360590035095811,no_feasible_change,True,0.005910000000000026,0,0.25909,17.6,1.1480100000000002,1.4342998937251337
