iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.531719146121909,1.531719146121909,0.0,-0.00717000000000001,-0.00717000000000001,0.0,-0.00717000000000001,-0.00717000000000001,0.0,0.27217,0.27217,0.0,14.600000000000001,14.600000000000001,0.0,0.9516700000000001,0.9516700000000001,0.0,,
1,timing_repair,True,G5,OR2_X1,OR2_X2,,1.531719146121909,1.4342998937251337,0.0974192523967754,-0.00717000000000001,0.005910000000000026,0.013080000000000036,-0.00717000000000001,0,0.00717000000000001,0.27217,0.25909,-0.013080000000000036,14.600000000000001,17.6,3.0,0.9516700000000001,1.1480100000000002,0.19634000000000007,,
2,rejected,False,,,,no selected sizing change is available within area and power constraints,1.4342998937251337,1.4342998937251337,0.0,0.005910000000000026,0.005910000000000026,0.0,0,0,0,0.25909,0.25909,0.0,17.6,17.6,0.0,1.1480100000000002,1.1480100000000002,0.0,no_feasible_change,0.0038008380215615034
