method,role,heuristic,random_seed,maximum_iterations,total_iterations,accepted_iterations,sta_calls,elapsed_seconds,termination,timing_met,wns_ns,tns_ns,circuit_delay_ns,area,power_uW,cost
slack_weighted_capacitance,logical_effort_guided,slack_weighted_capacitance,,100,1,0,3,0.001771598996128887,timing_met_no_cost_improvement,True,0.008999999999999994,0,0.101,3.6,0.2555,1.4
random_greedy,greedy_baseline,random_greedy,0,100,3,0,3,0.0012811000342480838,no_feasible_change,True,0.008999999999999994,0,0.101,3.6,0.2555,1.4
