node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,INV_X1,N1,False,1.0,0.024,0.018500000000000003,0.024,0.018500000000000003,0.034999999999999996,0.027499999999999997,0.010999999999999996,0.008999999999999994,0.008999999999999994
G2,BUF_X1,N2,False,1.0,0.037,0.0315,0.061,0.05,0.072,0.059,0.010999999999999996,0.008999999999999994,0.008999999999999994
G3,INV_X1,OUT,True,4.0,0.051000000000000004,0.038000000000000006,0.101,0.099,0.11,0.11,0.008999999999999994,0.010999999999999996,0.008999999999999994
