node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,INV_X1,N1,False,8.0,0.08700000000000001,0.064,0.08700000000000001,0.064,0.083,0.068,-0.0040000000000000036,0.0040000000000000036,-0.0040000000000000036
G2,NAND2_X1,O1,True,3.0,0.0615,0.05500000000000001,0.1255,0.14200000000000002,0.15,0.15,0.024499999999999994,0.00799999999999998,0.00799999999999998
G3,NOR2_X1,O2,True,3.5,0.087,0.056249999999999994,0.151,0.14325,0.155,0.155,0.0040000000000000036,0.01175000000000001,0.0040000000000000036
G4,AND2_X1,O3,True,4.0,0.082,0.07400000000000001,0.169,0.138,0.165,0.165,-0.0040000000000000036,0.026999999999999996,-0.0040000000000000036
G5,OR2_X1,O4,True,4.5,0.09625,0.07925,0.18325000000000002,0.14325,0.18,0.18,-0.0032500000000000306,0.036750000000000005,-0.0032500000000000306
G6,XOR2_X1,O5,True,5.0,0.122,0.10800000000000001,0.20900000000000002,0.195,0.21,0.21,0.0009999999999999731,0.014999999999999986,0.0009999999999999731
