iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.5612422952088854,1.5612422952088854,0.0,-0.008664000000000005,-0.008664000000000005,0.0,-0.012994000000000006,-0.012994000000000006,0.0,0.268664,0.268664,0.0,17.0,17.0,0.0,1.03883,1.03883,0.0,,
1,rejected,False,G3,XOR2_X1,XOR2_X2,candidate violates area or power constraints,1.5612422952088854,1.5612422952088854,0.0,-0.008664000000000005,-0.008664000000000005,0.0,-0.012994000000000006,-0.012994000000000006,0.0,0.268664,0.268664,0.0,17.0,17.0,0.0,1.03883,1.03883,0.0,,
2,rejected,False,,,,all one-step critical-path upsizes were exhausted,1.5612422952088854,1.5612422952088854,0.0,-0.008664000000000005,-0.008664000000000005,0.0,-0.012994000000000006,-0.012994000000000006,0.0,0.268664,0.268664,0.0,17.0,17.0,0.0,1.03883,1.03883,0.0,no_feasible_change,0.0006637239712290466
