node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,XOR2_X1,N1,False,2.0,0.092,0.084,0.092,0.084,0.088336,0.088336,-0.0036640000000000006,0.004335999999999993,-0.0036640000000000006
G2,XNOR2_X1,N2,False,2.0,0.097,0.089,0.097,0.089,0.088336,0.088336,-0.008664000000000005,-0.0006639999999999979,-0.008664000000000005
G3,XOR2_X1,N3,False,1.333,0.08532999999999999,0.07866400000000001,0.18233,0.17566400000000001,0.178,0.167,-0.0043300000000000005,-0.008664000000000005,-0.008664000000000005
G4,NAND2_X1,OUT,True,6.0,0.093,0.082,0.268664,0.26433,0.26,0.26,-0.008664000000000005,-0.0043300000000000005,-0.008664000000000005
