node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,NAND3_X1,N1,False,1.667,0.063337,0.063671,0.063337,0.063671,0.09766950000000002,0.08866900000000003,0.034332500000000016,0.02499800000000002,0.02499800000000002
G2,NOR3_X1,N2,False,2.333,0.09699400000000001,0.05866400000000001,0.09699400000000001,0.05866400000000001,0.08500300000000002,0.08466900000000002,-0.011990999999999988,0.026005000000000014,-0.011990999999999988
G3,AND3_X1,N3,False,1.333,0.0773305,0.072331,0.1406675,0.136002,0.17500000000000002,0.16100000000000003,0.034332500000000016,0.02499800000000002,0.02499800000000002
G4,OR3_X1,N4,False,1.333,0.089997,0.07633100000000001,0.18699100000000002,0.13499500000000003,0.17500000000000002,0.16100000000000003,-0.011991000000000002,0.026005,-0.011991000000000002
G5,NAND2_X1,OUT,True,8.0,0.114,0.1,0.250002,0.286991,0.275,0.275,0.02499800000000002,-0.011990999999999974,-0.011990999999999974
