iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.6089089901773919,1.6089089901773919,0.0,-0.011990999999999974,-0.011990999999999974,0.0,-0.011990999999999974,-0.011990999999999974,0.0,0.286991,0.286991,0.0,14.3,14.3,0.0,0.92816,0.92816,0.0,,
1,timing_repair,True,G5,NAND2_X1,NAND2_X2,,1.6089089901773919,1.3685075440968433,0.2404014460805486,-0.011990999999999974,0.012012000000000023,0.024002999999999997,-0.011990999999999974,0,0.011990999999999974,0.286991,0.262988,-0.024002999999999997,14.3,16.1,1.8000000000000007,0.92816,1.05332,0.12516000000000005,,
2,rejected,False,G5,NAND2_X2,NAND2_X4,candidate violates area or power constraints,1.3685075440968433,1.3685075440968433,0.0,0.012012000000000023,0.012012000000000023,0.0,0,0,0,0.262988,0.262988,0.0,16.1,16.1,0.0,1.05332,1.05332,0.0,,
3,rejected,False,,,,all one-step critical-path upsizes were exhausted,1.3685075440968433,1.3685075440968433,0.0,0.012012000000000023,0.012012000000000023,0.0,0,0,0,0.262988,0.262988,0.0,16.1,16.1,0.0,1.05332,1.05332,0.0,no_feasible_change,0.001966473995707929
