rank,slack_ns,input_net,output_net,input_transition,output_transition,gate_count,gates,input_pins,transitions
1,-0.022668000000000077,A,OUT,rise,rise,10,G1 -> G2 -> G3 -> G4 -> G5 -> G6 -> G7 -> G8 -> G9 -> G10,0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,rise -> fall -> rise -> fall -> fall -> fall -> rise -> rise -> fall -> rise -> rise
2,-0.022668000000000077,B,OUT,rise,rise,10,G1 -> G2 -> G3 -> G4 -> G5 -> G6 -> G7 -> G8 -> G9 -> G10,1 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,rise -> fall -> rise -> fall -> fall -> fall -> rise -> rise -> fall -> rise -> rise
3,-0.004166500000000017,A,OUT,fall,fall,10,G1 -> G2 -> G3 -> G4 -> G5 -> G6 -> G7 -> G8 -> G9 -> G10,0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,fall -> rise -> fall -> rise -> rise -> rise -> fall -> fall -> rise -> fall -> fall
4,-0.004166500000000017,B,OUT,fall,fall,10,G1 -> G2 -> G3 -> G4 -> G5 -> G6 -> G7 -> G8 -> G9 -> G10,1 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,fall -> rise -> fall -> rise -> rise -> rise -> fall -> fall -> rise -> fall -> fall
