iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.6503821785502848,1.6503821785502848,0.0,-0.022668000000000077,-0.022668000000000077,0.0,-0.026834500000000094,-0.026834500000000094,0.0,0.45266800000000007,0.45266800000000007,0.0,17.6,17.6,0.0,1.1685,1.1685,0.0,,
1,timing_repair,True,G10,BUF_X1,BUF_X2,,1.6503821785502848,1.377432641028257,0.2729495375220279,-0.022668000000000077,0.0033319999999998906,0.025999999999999968,-0.026834500000000094,0,0.026834500000000094,0.45266800000000007,0.4266680000000001,-0.025999999999999968,17.6,19.2,1.5999999999999979,1.1685,1.266,0.09749999999999992,,
2,rejected,False,,,,no selected sizing change is available within area and power constraints,1.377432641028257,1.377432641028257,0.0,0.0033319999999998906,0.0033319999999998906,0.0,0,0,0,0.4266680000000001,0.4266680000000001,0.0,19.2,19.2,0.0,1.266,1.266,0.0,no_feasible_change,0.007983734947629273
