node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,BUF_X1,N1,False,1.333,0.039331,0.0333315,0.039331,0.0333315,0.07766400000000001,0.11916450000000002,0.03833300000000001,0.08583300000000002,0.03833300000000001
G3,NAND3_X1,N3,False,1.667,0.063337,0.063671,0.081337,0.08367100000000001,0.073497,0.10316450000000002,-0.00784,0.01949350000000001,-0.00784
G2,AND2_X1,N2,False,1.667,0.063336,0.0588355,0.10266700000000001,0.092167,0.14100000000000001,0.17800000000000002,0.038333000000000006,0.08583300000000002,0.038333000000000006
G4,NOR2_X1,N4,False,1.0,0.052,0.0375,0.135671,0.118837,0.1551645,0.11099700000000001,0.019493499999999997,-0.007839999999999986,-0.007839999999999986
G5,INV_X1,N5,False,1.667,0.030003000000000002,0.0228355,0.14884,0.15850650000000002,0.14100000000000001,0.17800000000000002,-0.007839999999999986,0.019493499999999997,-0.007839999999999986
G6,OR2_X1,OUT,True,8.0,0.126,0.10200000000000001,0.27484,0.26050650000000003,0.267,0.28,-0.007839999999999958,0.019493499999999997,-0.007839999999999958
