iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.5426284383641382,1.5426284383641382,0.0,-0.007839999999999958,-0.007839999999999958,0.0,-0.007839999999999958,-0.007839999999999958,0.0,0.27484,0.27484,0.0,12.8,12.8,0.0,0.85134,0.85134,0.0,,
1,timing_repair,True,G6,OR2_X1,OR2_X2,,1.5426284383641382,1.4238797170613673,0.11874872130277092,-0.007839999999999958,0.011156999999999972,0.01899699999999993,-0.007839999999999958,0,0.007839999999999958,0.27484,0.25584300000000004,-0.01899699999999993,12.8,15.8,3.0,0.85134,1.0476800000000002,0.19634000000000018,,
2,rejected,False,G6,OR2_X2,OR2_X4,candidate violates area or power constraints,1.4238797170613673,1.4238797170613673,0.0,0.011156999999999972,0.011156999999999972,0.0,0,0,0,0.25584300000000004,0.25584300000000004,0.0,15.8,15.8,0.0,1.0476800000000002,1.0476800000000002,0.0,,
3,rejected,False,G5,INV_X1,INV_X2,candidate violates area or power constraints,1.4238797170613673,1.4238797170613673,0.0,0.011156999999999972,0.011156999999999972,0.0,0,0,0,0.25584300000000004,0.25584300000000004,0.0,15.8,15.8,0.0,1.0476800000000002,1.0476800000000002,0.0,,
4,rejected,False,,,,all one-step critical-path upsizes were exhausted,1.4238797170613673,1.4238797170613673,0.0,0.011156999999999972,0.011156999999999972,0.0,0,0,0,0.25584300000000004,0.25584300000000004,0.0,15.8,15.8,0.0,1.0476800000000002,1.0476800000000002,0.0,no_feasible_change,0.001764170010574162
