iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.549325758009189,1.549325758009189,0.0,-0.006003000000000008,-0.006003000000000008,0.0,-0.006003000000000008,-0.006003000000000008,0.0,0.2010035,0.2010035,0.0,9.8,9.8,0.0,0.7717560000000001,0.7717560000000001,0.0,,
1,rejected,False,G2,INV_X1,INV_X2,no candidate improves WNS or tied-WNS TNS,1.549325758009189,1.549325758009189,0.0,-0.006003000000000008,-0.006003000000000008,0.0,-0.006003000000000008,-0.006003000000000008,0.0,0.2010035,0.2010035,0.0,9.8,9.8,0.0,0.7717560000000001,0.7717560000000001,0.0,,
2,rejected,False,,,,all one-step critical-path upsizes were exhausted,1.549325758009189,1.549325758009189,0.0,-0.006003000000000008,-0.006003000000000008,0.0,-0.006003000000000008,-0.006003000000000008,0.0,0.2010035,0.2010035,0.0,9.8,9.8,0.0,0.7717560000000001,0.7717560000000001,0.0,no_feasible_change,0.0008780350326560438
