node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,NAND2_X1,N1,False,4.667,0.0790035,0.07000300000000001,0.0790035,0.07000300000000001,0.08299999999999999,0.064,0.003996499999999986,-0.006003000000000008,-0.006003000000000008
G2,INV_X1,O1,True,3.0,0.042,0.0315,0.11200300000000002,0.1105035,0.12,0.12,0.007996999999999976,0.009496499999999991,0.007996999999999976
G3,NOR2_X1,O2,True,4.0,0.094,0.06,0.164003,0.1390035,0.158,0.158,-0.006003000000000008,0.0189965,-0.006003000000000008
G4,XOR2_X1,O3,True,5.0,0.122,0.10800000000000001,0.2010035,0.18700350000000002,0.205,0.205,0.003996499999999986,0.01799649999999997,0.003996499999999986
