node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,NAND2_X1,N1,False,1.667,0.047503500000000004,0.043003,0.047503500000000004,0.043003,0.06383000000000001,0.04283000000000001,0.016326500000000008,-0.0001729999999999926,-0.0001729999999999926
G4,AND2_X1,N4,False,2.0,0.066,0.061,0.076,0.071,0.07383100000000001,0.07383100000000001,-0.0021689999999999904,0.002831000000000014,-0.0021689999999999904
G2,NOR2_X1,N2,False,2.0,0.066,0.045,0.109003,0.0925035,0.10883000000000001,0.10883000000000001,-0.0001729999999999926,0.016326500000000008,-0.0001729999999999926
G5,XOR2_X1,N5,False,1.0,0.08199999999999999,0.07600000000000001,0.15799999999999997,0.15200000000000002,0.155831,0.1843315,-0.0021689999999999765,0.032331499999999985,-0.0021689999999999765
G3,XOR2_X1,N3,False,1.667,0.08867,0.081336,0.197673,0.190339,0.1975,0.2195,-0.00017299999999997873,0.029160999999999992,-0.00017299999999997873
G6,BUF_X1,N6,False,1.667,0.041669,0.0351685,0.19966899999999999,0.18716850000000002,0.1975,0.2195,-0.0021689999999999765,0.032331499999999985,-0.0021689999999999765
G7,OR2_X1,OUT,True,7.0,0.11750000000000001,0.0955,0.317169,0.285839,0.315,0.315,-0.0021689999999999765,0.029160999999999992,-0.0021689999999999765
