sample,circuit_state,global_z,resamples,circuit_delay_ns,wns_ns,tns_ns,violation,critical_path_id,critical_path
1618,pre_optimization,1.2813589021401157,0,0.34654578291658844,-0.03154578291658844,-0.03154578291658844,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1618,post_optimization,1.2813589021401157,0,0.32617160105741144,-0.01117160105741144,-0.01117160105741144,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1619,pre_optimization,-1.346112404747313,0,0.32175714929752663,-0.006757149297526632,-0.006757149297526632,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1619,post_optimization,-1.346112404747313,0,0.30179993005942807,0.013200069940571935,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1620,pre_optimization,-0.9633257881408699,0,0.3105290832994528,0.004470916700547223,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1620,post_optimization,-0.9633257881408699,0,0.29363213325240817,0.021367866747591835,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1621,pre_optimization,-0.8303350128535825,0,0.3102428289446403,0.004757171055359721,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1621,post_optimization,-0.8303350128535825,0,0.29614781252226663,0.018852187477733373,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1622,pre_optimization,-1.180306834048,0,0.30592995237179155,0.009070047628208455,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1622,post_optimization,-1.180306834048,0,0.29295696722149767,0.022043032778502336,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1623,pre_optimization,1.1732869273642421,0,0.32947357147403056,-0.014473571474030555,-0.014473571474030555,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1623,post_optimization,1.1732869273642421,0,0.3173728922967046,-0.0023728922967046207,-0.0023728922967046207,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1624,pre_optimization,1.7183148849642615,0,0.3392925355454705,-0.024292535545470506,-0.024292535545470506,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1624,post_optimization,1.7183148849642615,0,0.3267149378153616,-0.011714937815361592,-0.011714937815361592,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1625,pre_optimization,-0.296673329240829,0,0.3168345642263209,-0.0018345642263208894,-0.0018345642263208894,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1625,post_optimization,-0.296673329240829,0,0.30255340674585696,0.012446593254143046,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1626,pre_optimization,0.7583306343850849,0,0.32735354270439576,-0.012353542704395759,-0.012353542704395759,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1626,post_optimization,0.7583306343850849,0,0.31454360340439147,0.0004563965956085325,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1627,pre_optimization,0.897061248052495,0,0.30802842625267013,0.006971573747329873,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1627,post_optimization,0.897061248052495,0,0.2948254267318263,0.02017457326817368,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1628,pre_optimization,0.10340471768917134,0,0.31452842525572366,0.0004715747442763374,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1628,post_optimization,0.10340471768917134,0,0.298760343056843,0.016239656943156988,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1629,pre_optimization,-1.7352988239193192,0,0.2992971398411691,0.015702860158830878,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1629,post_optimization,-1.7352988239193192,0,0.28806358527674675,0.026936414723253255,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1630,pre_optimization,0.7131099832862275,0,0.324713302000683,-0.009713302000682988,-0.009713302000682988,True,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1630,post_optimization,0.7131099832862275,0,0.3128033547380349,0.0021966452619651133,0,False,A:rise|G1[0]|G2[0]|G3[0]|G7[0]|OUT:rise,A -> G1 -> G2 -> G3 -> G7
1631,pre_optimization,-0.8586491862913042,0,0.3076620683925956,0.007337931607404424,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1631,post_optimization,-0.8586491862913042,0,0.29213693545587943,0.02286306454412057,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1632,pre_optimization,0.06311465523395089,0,0.31888919874065724,-0.0038891987406572404,-0.0038891987406572404,True,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
1632,post_optimization,0.06311465523395089,0,0.30228573293972505,0.012714267060274953,0,False,D:rise|G4[0]|G5[0]|G6[0]|G7[1]|OUT:rise,D -> G4 -> G5 -> G6 -> G7
