rank,slack_ns,input_net,output_net,input_transition,output_transition,gate_count,gates,input_pins,transitions
1,-0.1473599999999995,J,O7,fall,rise,16,G10 -> G23 -> G30 -> G34 -> G36 -> G38 -> G99 -> G100 -> G101 -> G102 -> G103 -> G104 -> G105 -> G106 -> G107 -> G108,0 -> 1 -> 0 -> 0 -> 1 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,fall -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> fall -> rise -> rise -> rise -> fall -> rise
2,-0.1473599999999995,O,O7,fall,rise,16,G10 -> G23 -> G30 -> G34 -> G36 -> G38 -> G99 -> G100 -> G101 -> G102 -> G103 -> G104 -> G105 -> G106 -> G107 -> G108,1 -> 1 -> 0 -> 0 -> 1 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,fall -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> fall -> rise -> rise -> rise -> fall -> rise
3,-0.1473599999999995,C,O7,fall,rise,16,G10 -> G23 -> G30 -> G34 -> G36 -> G38 -> G99 -> G100 -> G101 -> G102 -> G103 -> G104 -> G105 -> G106 -> G107 -> G108,2 -> 1 -> 0 -> 0 -> 1 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,fall -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> fall -> rise -> rise -> rise -> fall -> rise
4,-0.14735399999999976,J,O5,fall,rise,16,G10 -> G23 -> G30 -> G34 -> G36 -> G38 -> G79 -> G80 -> G81 -> G82 -> G83 -> G84 -> G85 -> G86 -> G87 -> G88,0 -> 1 -> 0 -> 0 -> 1 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,fall -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> fall -> rise -> rise -> rise -> rise -> rise -> fall -> rise
5,-0.14735399999999976,O,O5,fall,rise,16,G10 -> G23 -> G30 -> G34 -> G36 -> G38 -> G79 -> G80 -> G81 -> G82 -> G83 -> G84 -> G85 -> G86 -> G87 -> G88,1 -> 1 -> 0 -> 0 -> 1 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0,fall -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> rise -> fall -> rise -> rise -> rise -> rise -> rise -> fall -> rise
