node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,AND2_X1,N1,False,3.0,0.07400000000000001,0.0675,0.07400000000000001,0.0675,0.0975,0.06499999999999999,0.023499999999999993,-0.002500000000000016,-0.002500000000000016
G2,OR2_X1,N2,False,3.333,0.0863305,0.0716645,0.0863305,0.0716645,0.08099999999999999,0.08099999999999999,-0.005330500000000016,0.009335499999999983,-0.005330500000000016
G3,NAND2_X1,O1,True,4.0,0.07200000000000001,0.064,0.14366450000000003,0.1503305,0.16,0.165,0.016335499999999975,0.014669500000000002,0.014669500000000002
G4,NOR2_X1,O2,True,3.0,0.08,0.0525,0.14750000000000002,0.1265,0.145,0.15,-0.00250000000000003,0.023499999999999993,-0.00250000000000003
G5,XNOR2_X1,O3,True,6.0,0.139,0.123,0.22533050000000002,0.2093305,0.22,0.218,-0.005330500000000016,0.008669499999999997,-0.005330500000000016
